127.0.0.1 - - [20/Dec/2023:14:11:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:23 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:23 +0900] "GET /chap01/Tutorial/protocol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:32 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:32 +0900] "GET /chap01/Tutorial/protocol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:36 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:36 +0900] "GET /chap01/Tutorial/protocol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:37 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:37 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:37 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:41 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:41 +0900] "GET /chap01/Tutorial/protocol.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:41 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:50 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:50 +0900] "GET /chap01/Tutorial/protocol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:51 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:51 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:51 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:52 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:52 +0900] "GET /chap01/Tutorial/protocol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:57 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:57 +0900] "GET /chap01/Tutorial/protocol.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:10:48 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:10:48 +0900] "GET /chap01/Tutorial/protocol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:10:49 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:07:39 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:11:21 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:12:23 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:12:29 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:12:29 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:13:32 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:13:37 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:17:42 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:17:43 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:18:05 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:18:05 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:18:05 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:19:42 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:19:43 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:19:43 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:19:43 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:19:44 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:19:44 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:19:44 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:20:22 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:20:27 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:20:29 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:20:30 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:20:30 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:20:30 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:20:39 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:20:42 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:20:43 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [20/Dec/2023:17:20:43 +0900] "GET /chap01/Tutorial/whit_is_jsp.jsp HTTP/1.1" 200 1130
